"gene","n_pats","pairs","av_sim","median_sim","mode_sim","p_av","p_median","p_mode"
"AP2M1",2,1,9.62799599042258,9.62799599042258,9.62799599042258,0,0,0
"CHD2",2,1,2.14603309222715,2.14603309222715,2.14603309222715,0.34239,0.34239,0.34239
"SCN1A",3,3,2.19402120956873,1.98611996602476,1.66575342610012,0.27921,0.31709,0.4412
