"term","local.Base.freq","Base.local.IC","local.Prop.freq","Propagated.local.IC"
"HP:0000185",0,0,0,0
"HP:0000185",0,0,0,0
"HP:0000187",0,0,0,0
"HP:0000188",0,0,0,0
"HP:0000189",0,0,0,0
"HP:0000190",0,0,0,0
"HP:0000191",0,0,0,0
"HP:0000193",0,0,0,0
"HP:0000194",0,0,0,0
"HP:0000196",0,0,0,0
"HP:0000196",0,0,0,0
"HP:0000197",0,0,0,0
"HP:0000198",0,0,0,0
"HP:0000199",0,0,0,0
"HP:0000200",0,0,0,0
"HP:0000201",0,0,0,0
"HP:0000202",0,0,0,0
"HP:0000204",0,0,0,0
"HP:0000204",0,0,0,0
"HP:0000205",0,0,0,0
"HP:0000206",0,0,0,0
"HP:0000207",0,0,0,0
"HP:0000211",0,0,0,0
"HP:0000212",0,0,0,0
"HP:0000214",0,0,0,0
"HP:0000214",0,0,0,0
"HP:0000215",0,0,0,0
"HP:0000215",0,0,0,0
"HP:0000216",0,0,0,0
"HP:0000217",0,0,0,0
"HP:0000218",0,0,0,0
"HP:0000219",0,0,0,0
"HP:0000219",0,0,0,0
"HP:0000220",0,0,0,0
"HP:0000221",0,0,0,0
"HP:0000222",0,0,0,0
"HP:0000222",0,0,0,0
"HP:0000223",0,0,0,0
"HP:0000223",0,0,0,0
"HP:0000224",0,0,0,0
"HP:0000225",0,0,0,0
"HP:0000225",0,0,0,0
"HP:0000227",0,0,0,0
"HP:0000227",0,0,0,0
"HP:0000228",0,0,0,0
"HP:0000228",0,0,0,0
"HP:0000230",0,0,0,0
"HP:0000232",0,0,0,0
"HP:0000232",0,0,0,0
"HP:0000233",0,0,0,0
"HP:0000234",0,0,0,0
"HP:0000235",0,0,0,0
"HP:0000236",0,0,0,0
"HP:0000237",0,0,0,0
"HP:0000238",0,0,0,0
"HP:0000238",0,0,0,0
"HP:0000239",0,0,0,0
"HP:0000240",0,0,0,0
"HP:0000242",0,0,0,0
"HP:0000243",0,0,0,0
"HP:0000244",0,0,0,0
"HP:0000244",0,0,0,0
"HP:0000245",0,0,0,0
"HP:0000246",0,0,0,0
"HP:0000246",0,0,0,0
"HP:0000248",0,0,0,0
"HP:0000250",0,0,0,0
"HP:0000250",0,0,0,0
"HP:0000252",0,0,0,0
"HP:0000252",0,0,0,0
"HP:0000253",0,0,0,0
"HP:0000255",0,0,0,0
"HP:0000256",0,0,0,0
"HP:0000260",0,0,0,0
"HP:0000260",0,0,0,0
"HP:0000262",0,0,0,0
"HP:0000263",0,0,0,0
"HP:0000264",0,0,0,0
"HP:0000265",0,0,0,0
"HP:0000267",0,0,0,0
"HP:0000268",0,0,0,0
"HP:0000269",0,0,0,0
"HP:0000270",0,0,0,0
"HP:0000271",0,0,0,0
"HP:0000272",0,0,0,0
"HP:0000273",0,0,0,0
"HP:0000274",0,0,0,0
"HP:0000275",0,0,0,0
"HP:0000276",0,0,0,0
"HP:0000277",0,0,0,0
"HP:0000278",0,0,0,0
"HP:0000280",0,0,0,0
"HP:0000282",0,0,0,0
"HP:0000282",0,0,0,0
"HP:0000283",0,0,0,0
"HP:0000284",0,0,0,0
"HP:0000286",0,0,0,0
"HP:0000287",0,0,0,0
"HP:0000288",0,0,0,0
"HP:0000289",0,0,0,0
"HP:0000290",0,0,0,0
"HP:0000291",0,0,0,0
"HP:0000291",0,0,0,0
"HP:0000292",0,0,0,0
"HP:0000292",0,0,0,0
"HP:0000293",0,0,0,0
"HP:0000294",0,0,0,0
"HP:0000295",0,0,0,0
"HP:0000297",0,0,0,0
"HP:0000297",0,0,0,0
"HP:0000298",0,0,0,0
"HP:0000300",0,0,0,0
"HP:0000301",0,0,0,0
"HP:0000301",0,0,0,0
"HP:0000303",0,0,0,0
"HP:0000303",0,0,0,0
"HP:0000306",0,0,0,0
"HP:0000307",0,0,0,0
"HP:0000308",0,0,0,0
"HP:0000308",0,0,0,0
"HP:0000309",0,0,0,0
"HP:0000311",0,0,0,0
"HP:0000315",0,0,0,0
"HP:0000316",0,0,0,0
"HP:0000317",0,0,0,0
"HP:0000317",0,0,0,0
"HP:0000319",0,0,0,0
"HP:0000320",0,0,0,0
"HP:0000321",0,0,0,0
"HP:0000322",0,0,0,0
"HP:0000324",0,0,0,0
"HP:0000325",0,0,0,0
"HP:0000326",0,0,0,0
"HP:0000327",0,0,0,0
"HP:0000329",0,0,0,0
"HP:0000329",0,0,0,0
"HP:0000331",0,0,0,0
"HP:0000336",0,0,0,0
"HP:0000337",0,0,0,0
"HP:0000338",0,0,0,0
"HP:0000338",0,0,0,0
"HP:0000339",0,0,0,0
"HP:0000340",0,0,0,0
"HP:0000341",0,0,0,0
"HP:0000343",0,0,0,0
"HP:0000346",0,0,0,0
"HP:0000347",0,0,0,0
"HP:0000348",0,0,0,0
"HP:0000349",0,0,0,0
"HP:0000350",0,0,0,0
"HP:0000356",0,0,0,0
"HP:0000357",0,0,0,0
"HP:0000358",0,0,0,0
"HP:0000359",0,0,0,0
"HP:0000360",0,0,0,0
"HP:0000361",0,0,0,0
"HP:0000362",0,0,0,0
"HP:0000363",0,0,0,0
"HP:0000364",0,0,0,0
"HP:0000365",0,0,0,0
"HP:0000366",0,0,0,0
"HP:0000368",0,0,0,0
"HP:0000368",0,0,0,0
"HP:0000369",0,0,0,0
"HP:0000370",0,0,0,0
"HP:0000371",0,0,0,0
"HP:0000372",0,0,0,0
"HP:0000375",0,0,0,0
"HP:0000376",0,0,0,0
"HP:0000377",0,0,0,0
"HP:0000378",0,0,0,0
"HP:0000381",0,0,0,0
"HP:0000383",0,0,0,0
"HP:0000384",0,0,0,0
"HP:0000384",0,0,0,0
"HP:0000385",0,0,0,0
"HP:0000387",0,0,0,0
"HP:0000388",0,0,0,0
"HP:0000388",0,0,0,0
"HP:0000389",0,0,0,0
"HP:0000391",0,0,0,0
"HP:0000394",0,0,0,0
"HP:0000395",0,0,0,0
"HP:0000396",0,0,0,0
"HP:0000399",0,0,0,0
"HP:0000400",0,0,0,0
"HP:0000402",0,0,0,0
"HP:0000403",0,0,0,0
"HP:0000403",0,0,0,0
"HP:0000405",0,0,0,0
"HP:0000405",0,0,0,0
"HP:0000407",0,0,0,0
"HP:0000407",0,0,0,0
"HP:0000408",0,0,0,0
"HP:0000408",0,0,0,0
"HP:0000410",0,0,0,0
"HP:0000410",0,0,0,0
"HP:0000411",0,0,0,0
"HP:0000413",0,0,0,0
"HP:0000414",0,0,0,0
"HP:0000414",0,0,0,0
"HP:0000415",0,0,0,0
"HP:0000417",0,0,0,0
"HP:0000418",0,0,0,0
"HP:0000419",0,0,0,0
"HP:0000420",0,0,0,0
"HP:0000421",0,0,0,0
"HP:0000421",0,0,0,0
"HP:0000422",0,0,0,0
"HP:0000426",0,0,0,0
"HP:0000429",0,0,0,0
"HP:0000430",0,0,0,0
"HP:0000430",0,0,0,0
"HP:0000431",0,0,0,0
"HP:0000433",0,0,0,0
"HP:0000434",0,0,0,0
"HP:0000434",0,0,0,0
"HP:0000436",0,0,0,0
"HP:0000437",0,0,0,0
"HP:0000444",0,0,0,0
"HP:0000445",0,0,0,0
"HP:0000446",0,0,0,0
"HP:0000447",0,0,0,0
"HP:0000448",0,0,0,0
"HP:0000451",0,0,0,0
"HP:0000452",0,0,0,0
"HP:0000453",0,0,0,0
"HP:0000454",0,0,0,0
"HP:0000455",0,0,0,0
"HP:0000455",0,0,0,0
"HP:0000456",0,0,0,0
"HP:0000457",0,0,0,0
"HP:0000458",0,0,0,0
"HP:0000460",0,0,0,0
"HP:0000463",0,0,0,0
"HP:0000463",0,0,0,0
"HP:0000463",0,0,0,0
"HP:0000464",0,0,0,0
"HP:0000465",0,0,0,0
"HP:0000466",0,0,0,0
"HP:0000467",0,0,0,0
"HP:0000467",0,0,0,0
"HP:0000468",0,0,0,0
"HP:0000468",0,0,0,0
"HP:0000470",0,0,0,0
"HP:0000470",0,0,0,0
"HP:0000471",0,0,0,0
"HP:0000472",0,0,0,0
"HP:0000473",0,0,0,0
"HP:0000473",0,0,0,0
"HP:0000473",0,0,0,0
"HP:0000474",0,0,0,0
"HP:0000474",0,0,0,0
"HP:0000475",0,0,0,0
"HP:0000476",0,0,0,0
"HP:0000478",0,0,0,0
"HP:0000479",0,0,0,0
"HP:0000480",0,0,0,0
"HP:0000480",0,0,0,0
"HP:0000481",0,0,0,0
"HP:0000482",0,0,0,0
"HP:0000483",0,0,0,0
"HP:0000483",0,0,0,0
"HP:0000484",0,0,0,0
"HP:0000485",0,0,0,0
"HP:0000486",0,0,0,0
"HP:0000487",0,0,0,0
"HP:0000488",0,0,0,0
"HP:0000489",0,0,0,0
"HP:0000490",0,0,0,0
"HP:0000491",0,0,0,0
"HP:0000491",0,0,0,0
"HP:0000492",0,0,0,0
"HP:0000493",0,0,0,0
"HP:0000494",0,0,0,0
"HP:0000495",0,0,0,0
"HP:0000496",0,0,0,0
"HP:0000497",0,0,0,0
"HP:0000498",0,0,0,0
"HP:0000498",0,0,0,0
"HP:0000499",0,0,0,0
"HP:0000499",0,0,0,0
"HP:0000501",0,0,0,0
"HP:0000502",0,0,0,0
"HP:0000503",0,0,0,0
"HP:0000504",0,0,0,0
"HP:0000505",0,0,0,0
"HP:0000506",0,0,0,0
"HP:0000508",0,0,0,0
"HP:0000509",0,0,0,0
"HP:0000509",0,0,0,0
"HP:0000509",0,0,0,0
"HP:0000510",0,0,0,0
"HP:0000511",0,0,0,0
"HP:0000512",0,0,0,0
"HP:0000514",0,0,0,0
"HP:0000517",0,0,0,0
"HP:0000518",0,0,0,0
"HP:0000519",0,0,0,0
"HP:0000520",0,0,0,0
"HP:0000522",0,0,0,0
"HP:0000523",0,0,0,0
"HP:0000524",0,0,0,0
"HP:0000524",0,0,0,0
"HP:0000525",0,0,0,0
"HP:0000525",0,0,0,0
"HP:0000526",0,0,0,0
"HP:0000527",0,0,0,0
"HP:0000528",0,0,0,0
"HP:0000528",0,0,0,0
"HP:0000529",0,0,0,0
"HP:0000531",0,0,0,0
"HP:0000532",0,0,0,0
"HP:0000532",0,0,0,0
"HP:0000533",0,0,0,0
"HP:0000534",0,0,0,0
"HP:0000534",0,0,0,0
"HP:0000534",0,0,0,0
"HP:0000535",0,0,0,0
"HP:0000535",0,0,0,0
"HP:0000537",0,0,0,0
"HP:0000538",0,0,0,0
"HP:0000539",0,0,0,0
"HP:0000540",0,0,0,0
"HP:0000541",0,0,0,0
"HP:0000542",0,0,0,0
"HP:0000543",0,0,0,0
"HP:0000544",0,0,0,0
"HP:0000545",0,0,0,0
"HP:0000546",0,0,0,0
"HP:0000547",0,0,0,0
